variant,split,n_predictions,n_seeds,n_cases,pp_dir_5deg_mean,pp_dir_5deg_std,pp_dir_10deg_mean,pp_dir_10deg_std,pp_dir_15deg_mean,pp_dir_15deg_std,pp_dir_30deg_mean,pp_dir_30deg_std,pp_peak_0.10_mean,pp_peak_0.10_std,pp_peak_0.20_mean,pp_peak_0.20_std,pp_peak_0.50_mean,pp_peak_0.50_std,cos_signed_median_mean,cos_signed_median_std,cos_signed_mean_mean,cos_signed_mean_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std,angle_mean_deg_mean,angle_mean_deg_std,angle_p90_deg_mean,angle_p90_deg_std,mag_ratio_median_mean,mag_ratio_median_std,mag_ratio_mean_mean,mag_ratio_mean_std,peak_mag_true_mean,peak_mag_true_std,peak_mag_pred_mean,peak_mag_pred_std,peak_mag_rel_mean,peak_mag_rel_std
leak_dir_only,test,15,3,5,0.8426238020952757,0.10041792612024632,0.988288468720863,0.016696473078807922,0.9993320781586554,0.0005902509656818194,0.9998670480055227,0.00018264323631740035,0.6807626713232775,0.2541678481338818,0.8756629676004013,0.12833677737602778,0.997144461753822,0.005333118271745486,0.9988113800684612,0.0005858636735466055,0.9977678140004476,0.0008406663021321,1.801729925975133e-05,3.547008896783994e-05,2.7232084194819133,0.6464717072766022,3.159201161066691,0.5948848414760045,5.752115122477213,1.5089047261912396,0.8501006325085958,0.1030674310292717,0.847944422562917,0.1025513399555599,1.9912975132465363,1.4787985282924425,0.5831167300542196,0.17378279082899242,-0.5332162499427795,0.2634981708044096
leak_dir_only,val,12,3,4,0.8652171565986448,0.0889824053775911,0.9875663480494015,0.03128691923405227,0.9989926356226599,0.0020850728757939134,0.9999914388881688,1.6204914269061367e-05,0.4258750383965471,0.27615812361881314,0.6768385619330458,0.3641312614504408,0.9409554825149619,0.10749904888810126,0.9991315255562464,0.0003125071132415724,0.9979859193166097,0.0009909542683129646,0.0,0.0,2.351569493611654,0.4345257840742924,2.929916342099508,0.5060679293198335,5.756967186927795,1.890008304858028,1.1737772176663082,0.3243821205501709,1.1752065817515056,0.3547081959395358,0.5676821246743202,0.1925213275603621,0.42265186210473377,0.057274178572376426,-0.18463715041677156,0.2547478709222451
leak_mag_only,test,15,3,5,0.009264792415798785,0.011634587089650065,0.05142674669530896,0.05597814732232825,0.12951770705175447,0.1232944992895053,0.3846301982071952,0.18351648950122068,0.12368621945470028,0.23702640802944208,0.3704116679664465,0.43685843670400315,0.7151005400650569,0.2778391046352691,0.5675780693689982,0.5372537898862055,0.44606698950131735,0.3293480446211435,0.24009818646695769,0.20887805070553536,50.07352180480957,35.89362610920165,57.5153803507487,23.723685761349028,116.82381083170573,25.595143023162827,0.5148030976454417,0.13632330888255043,0.5125252465407054,0.1335098214639845,1.9912975132465363,1.4787985282924425,0.3903104265530904,0.13711770084411487,-0.6895045061906179,0.1950581354801301
leak_mag_only,val,12,3,4,0.03552988032035304,0.06821856233127516,0.09942920911810652,0.15798429119305,0.1738091676743164,0.19253188051820253,0.435897565564431,0.23313918203811143,0.025802020806781956,0.04010491864503602,0.1237403224558944,0.16058118269366972,0.6376784680368481,0.18328835624370757,0.7951874658465385,0.190402030694964,0.5896132936080297,0.20520316882795586,0.14239102052658204,0.12188492470926483,34.150013367335,17.28619640391196,46.93315394719442,15.683326981965669,94.38795598347981,40.108884403746266,0.8681548287471136,0.3878806980060736,0.8752357910076777,0.3838966411886924,0.5676821246743202,0.1925213275603621,0.4118586642046769,0.1568494428175249,-0.24782702784674862,0.22120212882576543
noleak,test,15,3,5,0.046299412462178856,0.04672450804981964,0.135767964847412,0.0781739343672754,0.23888974120121312,0.08628607819346659,0.5149294749520917,0.150664977685239,0.18592815642848978,0.2996269280539108,0.43046734157648964,0.3516053855965064,0.7604823192237607,0.229098174335357,0.7982552846272787,0.17702681065087383,0.5983383228381475,0.20225932523665982,0.15932594825083893,0.1234803506572357,34.76420160929362,14.854461850774467,45.13653004964193,14.625959816734177,100.57353642781575,38.759914553731775,0.5333495914936066,0.22620610784948797,0.573875919977824,0.1999600647629657,1.9912975132465363,1.4787985282924425,1.2382673859596252,0.31057014745230194,0.16798653999964397,0.9501580417834855
noleak,val,12,3,4,0.09109597945206387,0.12877332814349104,0.21606730577459993,0.2385692833711508,0.3092410044724506,0.25017954493826977,0.5977844624570776,0.1814874720050323,0.08149892927555052,0.11625780734228618,0.22980482763536705,0.18576636629003995,0.736891683912252,0.14325321987594467,0.8968230237563452,0.08109372029536362,0.7850212454795837,0.06357303124235898,0.047725666984276174,0.021871080439062315,23.827613313992817,11.857538616849846,31.17935609817505,8.231645632509599,63.962965965270996,12.825895223292141,1.0767039755980174,0.21696064225828604,1.0780393729607265,0.2447750168707351,0.5676821246743202,0.1925213275603621,0.6544520904620489,0.0628251282530688,0.2880884270804624,0.4708083689513338
noleak_centerline,test,15,3,5,0.01937446455276813,0.011425647875273602,0.08699884442118633,0.04229978083481012,0.1931655769999415,0.08608985829520943,0.47848927209439046,0.1588721129758965,0.15747683433053078,0.24329700871113819,0.4116444966075053,0.36951842261118817,0.7389783579713949,0.22856492753196822,0.7988342920939128,0.13059836155532523,0.6118582606315612,0.14535066486641438,0.1362446562858705,0.07557752888254375,35.430201848347984,11.982181477384247,45.06569328308105,11.094995420385569,96.54313303629557,30.25165171125125,0.49730004966259,0.17098199061821137,0.5985323448975881,0.17996449241262702,1.9912975132465363,1.4787985282924425,1.8563483595848083,0.7650850006143186,0.511519119143486,1.060531365371781
noleak_centerline,val,12,3,4,0.06852021930381304,0.08267389149482035,0.18786553603702308,0.18162720183521627,0.29226238250246683,0.21550920689388506,0.5245892110857657,0.20694693223475552,0.04932387750502252,0.06425715182439667,0.18330245294006184,0.14256974123436808,0.617591070943103,0.18594818935076407,0.8252172122399012,0.16953108183058704,0.6604445998867353,0.2293647480246,0.13233501399192452,0.1322823386779033,30.623549779256184,17.474780336108378,40.14800230662028,18.436863157505442,81.59264532725017,37.527428975907696,0.8853109826644262,0.27404946119316204,1.0957127983371417,0.4107024277644497,0.5676821246743202,0.1925213275603621,1.782919426759084,0.646198723829807,2.390647403895855,1.2538307034456178
sage_noleak,test,15,3,5,0.03835641952803263,0.03417679399629405,0.12190675034886546,0.08832758657061668,0.22520680589731987,0.11543296457278981,0.4675606407267328,0.15161544039117955,0.1515196910712178,0.2687270893693821,0.45369843810940497,0.3695362335479074,0.7234922520617355,0.2635864690137302,0.7002527236938476,0.3656980125149697,0.5487882872422536,0.2614687487295381,0.18768869272360747,0.17375704749076684,41.4954288482666,25.535363326924838,48.92096684773763,18.879831197441728,103.13611806233725,31.09896576252753,0.5037947356700897,0.18020803149013376,0.550206700960795,0.2088312245571613,1.9912975132465363,1.4787985282924425,1.0757386664549509,0.6092784516806012,-0.008607501784960428,1.0137770970506996
sage_noleak,val,12,3,4,0.09075679266128697,0.11546020644566195,0.21910925101776335,0.2205809138632639,0.3140183519508411,0.22165396280326635,0.5794964689275138,0.1551784233479845,0.0840230217872625,0.10965712654634105,0.22465183235898867,0.19308177746856367,0.6569430475163981,0.1690725543657516,0.9045107762018839,0.07639961515627458,0.7278812577327093,0.08324018062563794,0.08409727295878971,0.07475942335954126,23.062357664108276,11.039654331695306,35.022069454193115,6.596170628159909,78.37678050994873,22.0234280021344,1.1264543533325195,0.3830716591338235,1.1228390733400981,0.4515518458959343,0.5676821246743202,0.1925213275603621,0.6321045830845833,0.2185905061307116,0.2151521686464548,0.4979561328916273
sage_withleak,test,15,3,5,0.7819987033974061,0.17392420860402596,0.9849315676814042,0.01919920374365189,0.9995704251380096,0.0003401260267731103,0.9999538977344213,7.528618251756056e-05,0.6244479288164692,0.2922830139455216,0.8662650398135985,0.14336879303107314,0.9968623871865134,0.004834859822699088,0.9983649690945943,0.0012370923804401962,0.9972949266433716,0.0013373674893405773,0.0,0.0,3.099462135632833,1.1016707694380836,3.526983070373535,1.0099334796924728,6.205063803990682,1.8591330937543131,0.8658475438753764,0.12613831117251303,0.8674102624257406,0.13461339790977736,1.9912975132465363,1.4787985282924425,0.641717114051183,0.29422706236608476,-0.4782215315382928,0.3376087625513537
sage_withleak,val,12,3,4,0.8606300444445542,0.113888828313527,0.9862345016211254,0.01681084342282936,0.9985609574068811,0.0029599718292284854,0.999998481148009,5.261457634865336e-06,0.44801682560024764,0.25790572000232875,0.6812362894060797,0.32856305331779306,0.9651152229254742,0.0663213451927154,0.9989010542631149,0.0008090874069840076,0.9979694585005442,0.0010178035377173442,0.0,0.0,2.561552554368973,0.8457353969033508,2.9843133290608725,0.741711391977441,5.364496131738027,1.243593329646463,1.1369586785634358,0.29425664787931183,1.133373220761617,0.33169512165355,0.5676821246743202,0.1925213275603621,0.4141937543948491,0.06659927221748242,-0.19836354007323584,0.2724004197137293
withleak,test,15,3,5,0.768120080333908,0.10999589950531526,0.9551916262955966,0.038226871158169466,0.9954872364787325,0.005785975776326626,0.9998658968694317,0.00018265219732313784,0.6535371276639759,0.26293844507251773,0.888853321218474,0.1176241129892939,0.9979687023889013,0.002977639379821335,0.9983320355415344,0.00085971757951001,0.9965408325195313,0.0012672818161372393,1.9864533027184597e-05,3.81752899028281e-05,3.1993709723154704,0.8776970880176832,3.858447217941284,0.8079069827766199,7.48878812789917,1.9684762215601268,0.8739559888839722,0.1381811507665997,0.8681853413581848,0.13770010063111085,1.9912975132465363,1.4787985282924425,0.5573105533917745,0.15761159860084234,-0.5483365267515182,0.2610174969533125
withleak,val,12,3,4,0.8194295923412978,0.10318516122060917,0.9598616760434213,0.05568338778819994,0.9946827369956631,0.011633588073789282,0.9999969622960182,7.09454802756477e-06,0.4021747390332215,0.2575827900939066,0.6695132186043027,0.35440620719884386,0.9135895421282235,0.16757086434991664,0.9988485276699066,0.0006750578424225927,0.997118944923083,0.0016283716914341862,0.0,0.0,2.6284889578819275,0.8440651205876679,3.396105627218882,0.8335084187316852,6.881831804911296,2.7561307626613987,1.2023474127054214,0.34031346511872246,1.2035388499498367,0.37895340976783776,0.5676821246743202,0.1925213275603621,0.42849823584159213,0.05894955569448099,-0.17085310940941176,0.27153062996386557
womersley_leak_dir_only,test,18,3,6,0.07038186516996449,0.1479380887583231,0.30884954232200235,0.2750098491031762,0.5819764184846947,0.35084966035343423,0.9475333745560629,0.09179509838189175,0.0032310956790123457,0.013708377991753092,0.03121141975308642,0.08584194643889231,0.15470679012345678,0.3216662325994004,0.9633335868517557,0.031295446030666356,0.9534159931871626,0.0328536425060335,0.0,0.0,14.349244700537788,6.2909328927875885,15.228325949774849,6.252718666633732,20.604904890060425,7.646200028054688,2.1526374854147434,1.3897680523882503,2.174377315574222,1.38615780578172,0.10531015197436015,0.18839881024527966,0.08651988580822945,0.012451126106262225,3.0770992636680603,2.9617545563899426
womersley_leak_dir_only,val,12,3,4,0.17672830024323277,0.2288078456199652,0.47751858520234575,0.4005628587681587,0.6293487298363029,0.37555417857596085,0.8622662102321903,0.2852345361034349,0.08855712519025875,0.14597551211751467,0.23986099219939117,0.35394090535156697,0.49228159181290476,0.5100561035716747,0.9560464769601822,0.06492761053731447,0.947104940811793,0.06330752006566319,0.00030637254901960784,0.0010613056418926944,13.92038599650065,10.52183112998624,14.899638215700785,10.042780381777009,19.61091462771098,11.558904078414367,1.4372614721457164,0.5453317048378478,1.4304924060901005,0.5468053508692933,0.04181738942861557,0.021397486604549626,0.08422789474328359,0.015662085637200417,1.4610438247521718,1.1274639589580173
