variant,split,bin,De_bin_low,De_bin_high,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
cosserat_sweep_withleak,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,0.9998639134202855,0.0007071266108813847,0.999559117688073,0.00027518485828188836,0.0,0.0,1.617387937174903,0.5382908383760453
cosserat_sweep_withleak,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,1.0,0.0,0.9993324831680015,0.0005155772810607849,0.0,0.0,1.9674675243872184,0.7295203043877201
cosserat_sweep_withleak,val,high,0.22800358547929211,0.34798551749954276,18,3,6,1.0,0.0,0.9995604885949029,0.0003548719385524321,0.0,0.0,1.607955621348487,0.564064436421735
cosserat_sweep_withleak,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,1.0,0.0,0.999611289212198,0.00026413195634533406,0.0,0.0,1.5070437680591235,0.5384769380499669
cosserat_sweep_withleak,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,1.0,0.0,0.9995328513058749,0.000239608326114179,0.0,0.0,1.68776740991708,0.4750567991366201
cosserat_sweep_withleak,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.9795470236803392,0.07692002451223956,0.9991471441019149,0.001569475859936052,0.0,0.0,1.9630947042079199,1.3386170030093436
cosserat_sweep_leak_dir_only,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,1.0,0.0,0.9997242667056896,0.00016704692682476124,0.0,0.0,1.290556580932052,0.38794468572053675
cosserat_sweep_leak_dir_only,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,1.0,0.0,0.9995625041149281,0.0002190899479357276,0.0,0.0,1.6374058855904474,0.4460484091027107
cosserat_sweep_leak_dir_only,val,high,0.22800358547929211,0.34798551749954276,18,3,6,1.0,0.0,0.999654683801863,0.00014079560582706542,0.0,0.0,1.4769498805205028,0.30178539881608235
cosserat_sweep_leak_dir_only,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,1.0,0.0,0.9996864127390312,0.00021099775678372465,0.0,0.0,1.3670771736087222,0.4428126961744886
cosserat_sweep_leak_dir_only,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,1.0,0.0,0.9996029319185199,0.00020657212462913928,0.0,0.0,1.5530675541270862,0.44864408537254674
cosserat_sweep_leak_dir_only,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.9626584446728331,0.13633579723949274,0.9984336793422699,0.004492129858837553,0.0,0.0,2.1197506884733834,2.440631561095099
cosserat_sweep_leak_mag_only,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,0.19163560148384046,0.2538191803106761,0.3443980735761148,0.8148297781888804,0.3359986282918856,0.47437524133354814,61.907828401636195,60.579525948224855
cosserat_sweep_leak_mag_only,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,0.010514864114639885,0.03076791419249619,-0.2607103881460649,0.5732868282058777,0.626671848209642,0.34858418773250605,108.69583384195964,38.37942009272529
cosserat_sweep_leak_mag_only,val,high,0.22800358547929211,0.34798551749954276,18,3,6,0.029745064152038248,0.05275971066869295,-0.09145380184054375,0.7574369506120222,0.5628101955930728,0.413435993784382,97.40773158603244,53.145963219596375
cosserat_sweep_leak_mag_only,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,0.06261771552284907,0.12210817477541236,0.5177779231559146,0.5686058504986199,0.1785295853444266,0.3328546073253627,53.52996710574988,40.42463610709121
cosserat_sweep_leak_mag_only,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,0.010517152970867888,0.024471888225350194,-0.07609714962767833,0.6672544985986073,0.5352625982783306,0.3952853956775219,94.80975341796875,46.33369736678252
cosserat_sweep_leak_mag_only,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.02292891347910586,0.04605534491757014,0.12723769371708235,0.5545147081712213,0.4231134000063821,0.294608484671078,82.00355534326462,36.16513739500253
cosserat_sweep_noleak,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,0.17982467569882166,0.2504739626042347,0.32866559315610816,0.808511027517,0.3371269894844916,0.47363404012033533,62.811763498518204,59.74402327824375
cosserat_sweep_noleak,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,0.0030624514056086885,0.012584553137188627,-0.3214687042766147,0.5053742086893093,0.6848731545060021,0.3147569866184441,111.98119891131365,33.56156240096534
cosserat_sweep_noleak,val,high,0.22800358547929211,0.34798551749954276,18,3,6,0.016848492017344716,0.03714379898527977,-0.09922650456428528,0.7550127336898548,0.5678530739359029,0.4207040402378731,98.25629467434354,53.37783899719205
cosserat_sweep_noleak,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,0.02666090089414987,0.05421098405065015,0.5598815940038273,0.4789668615450324,0.13805232335636552,0.2888527388533695,52.14327575221206,33.85151847961843
cosserat_sweep_noleak,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,0.014493042461227165,0.03995629101799768,-0.08733079545764309,0.6704552559485663,0.5371574750663023,0.3822670039912844,95.31742731730144,46.858352585935265
cosserat_sweep_noleak,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.02481785612638865,0.06663659111451585,0.13571239901440485,0.549613019932261,0.42168297340050775,0.2864999737739356,81.40435695648193,36.17283938498233
