variant,resolution,n_cases,n_seeds,div_pred_mean,div_pred_p90,div_true_mean,div_true_p90,div_analytical_mean,div_analytical_p90,helm_pred_mean,helm_pred_p90,helm_true_mean,helm_true_p90
withleak,1x,6,3,0.08729035495263007,0.1542443707585335,9.864459859443286e-05,0.00023449760919902474,0.0,0.0,0.028123099485377948,0.0408567422337093,0.00045116211213389864,0.0010013014057569968
withleak,2x,6,3,0.025561689806636423,0.04920651204884052,6.967181232534851e-06,1.3378687981457915e-05,0.0,0.0,nan,nan,nan,nan
withleak,4x,6,3,0.006009911331202291,0.013369151026579254,1.302101626273945e-06,2.996110700639002e-06,0.0,0.0,nan,nan,1.563433592969482e-05,1.563433592969482e-05
leak_dir_only,1x,6,3,0.07357940856470829,0.1477689489722252,9.864459859443286e-05,0.00023449760919902474,0.0,0.0,0.02648082315841915,0.036495540655015805,0.00045116211213389864,0.0010013014057569968
leak_dir_only,2x,6,3,0.01984871992155806,0.042999885976314545,6.967181232534851e-06,1.3378687981457915e-05,0.0,0.0,nan,nan,nan,nan
leak_dir_only,4x,6,3,0.004636682986765645,0.010290799588113596,1.302101626273945e-06,2.996110700639002e-06,0.0,0.0,nan,nan,1.563433592969482e-05,1.563433592969482e-05
leak_mag_only,1x,6,3,0.23207739166294536,0.7808528125286103,9.864459859443286e-05,0.00023449760919902474,0.0,0.0,0.05387237398746674,0.06768612959668721,0.00045116211213389864,0.0010013014057569968
leak_mag_only,2x,6,3,0.06381854949803609,0.20725350826978686,6.967181232534851e-06,1.3378687981457915e-05,0.0,0.0,nan,nan,nan,nan
leak_mag_only,4x,6,3,0.012193062370670645,0.036971060427394016,1.302101626273945e-06,2.996110700639002e-06,0.0,0.0,nan,nan,1.563433592969482e-05,1.563433592969482e-05
noleak,1x,6,3,0.07262479475078483,0.1402208581566811,9.864459859443286e-05,0.00023449760919902474,0.0,0.0,0.06080797297933544,0.07921410662606045,0.00045116211213389864,0.0010013014057569968
noleak,2x,6,3,0.020938186162513577,0.04524494335055351,6.967181232534851e-06,1.3378687981457915e-05,0.0,0.0,nan,nan,nan,nan
noleak,4x,6,3,0.004432127699457653,0.009325112318302286,1.302101626273945e-06,2.996110700639002e-06,0.0,0.0,nan,nan,1.563433592969482e-05,1.563433592969482e-05
